1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
3.0,1.0,4.0,haruten,2021,520,160,150,200,940,360.0,500.0,530.0,2220.0,2040.0,11490.0
1.0,11.0,4.0,haruten,2020,200,130,830,290,5770,1790.0,510.0,5160.0,7410.0,13500.0,55200.0
1.0,6.0,8.0,haruten,2019,280,150,320,630,1780,710.0,1660.0,4260.0,2470.0,16410.0,49110.0
2.0,1.0,4.0,haruten,2018,600,190,140,240,1030,400.0,810.0,530.0,2510.0,2060.0,11650.0
1.0,4.0,2.0,haruten,2017,220,110,160,110,1040,260.0,140.0,350.0,1430.0,610.0,3780.0
2.0,13.0,3.0,haruten,2016,450,170,1390,240,20160,3770.0,540.0,7840.0,29950.0,32350.0,242730.0
2.0,7.0,10.0,haruten,2015,460,260,630,610,6060,2300.0,2460.0,6010.0,8480.0,57160.0,236300.0
4.0,3.0,12.0,haruten,2014,1150,310,220,1470,2080,740.0,7050.0,3230.0,5670.0,38790.0,211180.0
2.0,3.0,6.0,haruten,2013,620,300,650,1540,3190,930.0,2290.0,3750.0,6500.0,21880.0,111830.0
14.0,3.0,2.0,haruten,2012,15960,3720,400,350,61570,8400.0,8870.0,760.0,208630.0,97140.0,1452520.0
7.0,3.0,5.0,haruten,2011,1690,550,300,450,6810,2280.0,2560.0,1600.0,15590.0,25530.0,189840.0
2.0,4.0,16.0,haruten,2010,590,230,300,2860,2320,960.0,18280.0,19880.0,4190.0,208890.0,911660.0
12.0,4.0,5.0,haruten,2009,4650,870,270,370,10200,2690.0,4370.0,1360.0,22530.0,32390.0,221080.0
3.0,2.0,1.0,haruten,2008,580,190,200,140,2000,810.0,380.0,500.0,4430.0,1880.0,13500.0
2.0,11.0,4.0,haruten,2007,450,220,1420,290,20750,5350.0,960.0,4620.0,25210.0,44540.0,306390.0
1.0,2.0,8.0,haruten,2006,110,110,170,470,380,210.0,750.0,1990.0,430.0,2840.0,4320.0
13.0,14.0,4.0,haruten,2005,3510,890,1570,270,85020,16760.0,3310.0,5910.0,169320.0,225950.0,1939420.0
7.0,8.0,1.0,haruten,2003,1610,400,390,120,16490,4600.0,930.0,1040.0,31770.0,12300.0,
2.0,3.0,1.0,haruten,2002,290,120,110,100,540,210.0,170.0,170.0,,,
1.0,3.0,2.0,haruten,2001,200,110,140,120,500,230.0,190.0,310.0,,,
1.0,3.0,2.0,haruten,2000,170,100,110,100,290,130.0,130.0,150.0,,,
1.0,3.0,2.0,haruten,1999,230,100,110,110,430,,,,,,
2.0,10.0,5.0,haruten,1998,230,130,550,360,4770,,,,,,
2.0,1.0,3.0,haruten,1997,370,130,120,130,440,,,,,,
3.0,1.0,4.0,haruten,1996,1450,280,120,270,1210,,,,,,
4.0,6.0,3.0,haruten,1995,580,280,330,190,4090,,,,,,
9.0,8.0,3.0,nhk,2023,2220,490,390,270,12990,3310.0,2680.0,1760.0,30450.0,27690.0,260760.0
4.0,3.0,18.0,nhk,2022,710,260,260,4780,2490,1110.0,48720.0,40660.0,4820.0,416750.0,1532370.0
2.0,7.0,1.0,nhk,2021,370,150,320,140,3690,980.0,300.0,660.0,4960.0,3540.0,21180.0
